sample ID, execution time,W 5A probe , W 30A probe
2,  934,  71.490,  95.071
3,  1456,  69.750,  96.547
4,  1979,  69.695,  158.567
5,  2503,  68.848,  113.063
6,  3027,  68.209,  115.733
7,  3550,  68.641,  132.986
8,  4072,  69.078,  129.610
9,  4595,  68.118,  104.748
10,  5119,  67.596,  97.441
11,  5642,  69.354,  104.010
12,  6165,  70.048,  178.412
13,  6689,  69.459,  102.823
14,  7212,  67.774,  112.752
15,  7735,  69.136,  102.391
16,  8258,  72.077,  307.059
17,  8782,  69.631,  405.181
18,  9308,  69.243,  165.408
19,  9830,  71.381,  137.965
20,  10355,  69.855,  159.273
21,  10879,  71.136,  226.273
22,  11401,  70.727,  118.773
23,  11925,  70.525,  254.594
24,  12449,  70.503,  216.514
25,  12973,  71.937,  162.133
26,  13496,  71.496,  180.435
27,  14019,  72.613,  135.806
28,  14544,  70.709,  147.623
29,  15067,  70.569,  163.651
30,  15590,  71.975,  142.680
31,  16114,  70.737,  100.555
32,  16638,  68.730,  101.794
33,  17161,  69.332,  95.004
34,  17684,  70.837,  96.113
35,  18211,  69.344,  110.193
36,  18733,  67.540,  99.849
37,  19256,  69.494,  95.946
38,  19779,  71.628,  93.676
39,  20304,  69.671,  98.819
40,  20827,  69.193,  100.970
41,  21350,  71.918,  101.888
42,  21874,  68.732,  97.251
43,  22398,  67.612,  99.237
44,  22921,  69.143,  100.842
45,  23444,  66.679,  97.077
46,  23968,  67.035,  98.884
47,  24492,  65.493,  93.745
48,  25015,  67.357,  95.240
49,  25538,  67.996,  97.342
50,  26063,  68.796,  98.787
51,  26586,  69.391,  97.704
52,  27111,  67.045,  102.014
53,  27635,  66.207,  99.562
54,  28159,  65.783,  96.180
55,  28682,  65.713,  98.945
56,  29205,  68.016,  99.075
57,  29729,  69.968,  97.907
58,  30253,  67.324,  98.718
59,  30776,  67.563,  94.563
60,  31299,  67.662,  97.999
61,  31824,  65.085,  97.809
62,  32347,  67.305,  101.951
63,  32870,  68.155,  100.300
64,  33394,  69.516,  100.012
65,  33918,  67.210,  98.945
66,  34441,  67.923,  101.033
67,  34964,  68.919,  95.845
68,  35488,  66.846,  96.257
69,  36014,  66.557,  91.701
70,  36537,  67.710,  90.892
71,  37061,  68.957,  92.420
72,  37585,  66.727,  99.334
73,  38108,  66.674,  102.611
74,  38631,  68.514,  96.180
75,  39155,  69.037,  99.723
76,  39679,  65.983,  98.359
77,  40202,  67.518,  91.209
78,  40725,  67.812,  95.812
79,  41249,  66.857,  93.522
80,  41772,  66.798,  96.347
81,  42295,  67.914,  95.308
82,  42818,  68.632,  99.689
83,  43342,  65.960,  101.604
84,  43865,  68.569,  137.007
85,  44388,  67.313,  119.957
86,  44915,  66.688,  111.465
87,  45439,  65.596,  124.787
88,  45962,  65.657,  97.967
89,  46484,  66.812,  97.144
90,  47009,  67.058,  96.523
91,  47533,  64.500,  97.375
92,  48055,  65.074,  96.978
93,  48578,  67.766,  97.901
94,  49103,  67.877,  94.239
95,  49626,  68.684,  95.105
96,  50149,  67.037,  93.195
97,  50674,  67.406,  93.007
98,  51197,  66.508,  94.325
99,  51720,  65.629,  108.217
100,  52243,  68.384,  98.718
101,  52766,  68.093,  105.238
102,  53288,  67.315,  95.341
103,  53811,  65.713,  97.572
104,  54334,  65.961,  100.938
105,  54857,  67.590,  96.247
106,  55381,  67.619,  97.044
107,  55904,  65.499,  90.218
108,  56427,  68.412,  92.364
109,  56952,  67.496,  101.538
110,  57475,  65.686,  93.745
111,  57998,  68.100,  114.083
