
muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,519 ,0.28940,1.44698
2 ,1023 ,0.32386,1.61928
3 ,1527 ,0.42258,2.11292
4 ,2031 ,0.40887,2.04437
5 ,2535 ,0.49302,2.46508
6 ,3039 ,0.34189,1.70943
7 ,3543 ,0.30682,1.53410
8 ,4047 ,0.32861,1.64307
9 ,4551 ,0.29969,1.49845
10 ,5055 ,0.39660,1.98302
11 ,5559 ,0.62555,3.12776
12 ,6064 ,0.44154,2.20770
13 ,6569 ,0.36453,1.82265
14 ,7073 ,0.29443,1.47216
15 ,7577 ,0.35729,1.78644
16 ,8081 ,0.60840,3.04199
17 ,8585 ,0.54554,2.72771
18 ,9089 ,0.59781,2.98905
19 ,9597 ,0.55209,2.76045
20 ,10101 ,0.55049,2.75244
21 ,10605 ,0.62154,3.10772
22 ,11109 ,0.46697,2.33486
23 ,11614 ,0.46259,2.31294
24 ,12118 ,0.37046,1.85232
25 ,12622 ,0.53277,2.66385
26 ,13128 ,0.65514,3.27572
27 ,13633 ,0.61711,3.08554
28 ,14137 ,0.54010,2.70047
29 ,14641 ,0.43049,2.15243
30 ,15147 ,0.41294,2.06468
31 ,15651 ,0.40687,2.03435
32 ,16155 ,0.39416,1.97081
33 ,16659 ,0.40963,2.04813
34 ,17163 ,0.42653,2.13264
35 ,17668 ,0.39670,1.98348
36 ,18173 ,0.41000,2.05000
37 ,18679 ,0.37557,1.87784
38 ,19183 ,0.37175,1.85874
39 ,19688 ,0.37726,1.88629
40 ,20192 ,0.37181,1.85906
41 ,20696 ,0.37303,1.86513
42 ,21200 ,0.36067,1.80334
43 ,21704 ,0.36868,1.84341
44 ,22209 ,0.36223,1.81116
45 ,22713 ,0.36280,1.81398
46 ,23217 ,0.36110,1.80548
47 ,23722 ,0.38945,1.94726
48 ,24227 ,0.37463,1.87314
49 ,24731 ,0.28360,1.41800
50 ,25235 ,0.39379,1.96893
51 ,25739 ,0.38728,1.93638
52 ,26244 ,0.31581,1.57907
53 ,26749 ,0.33811,1.69056
54 ,27253 ,0.38609,1.93043
55 ,27759 ,0.39473,1.97363
56 ,28263 ,0.39980,1.99898
57 ,28768 ,0.31271,1.56356
58 ,29272 ,0.38002,1.90010
59 ,29776 ,0.37056,1.85280
60 ,30280 ,0.31140,1.55699
61 ,30785 ,0.33450,1.67249
62 ,31289 ,0.34596,1.72978
63 ,31793 ,0.30951,1.54753
64 ,32299 ,0.29951,1.49757
65 ,32803 ,0.24660,1.23301
66 ,33307 ,0.23984,1.19920
67 ,33812 ,0.25537,1.27683
68 ,34316 ,0.27246,1.36229
69 ,34820 ,0.22819,1.14094
70 ,35326 ,0.22756,1.13781
71 ,35830 ,0.22281,1.11406
72 ,36335 ,0.22281,1.11406
73 ,36839 ,0.22625,1.13127
74 ,37346 ,0.22431,1.12157
75 ,37850 ,0.22894,1.14468
76 ,38356 ,0.22344,1.11720
77 ,38860 ,0.23790,1.18950
78 ,39364 ,0.22582,1.12908
79 ,39869 ,0.22870,1.14348
80 ,40373 ,0.23139,1.15694
81 ,40878 ,0.23131,1.15655
82 ,41382 ,0.22801,1.14004
83 ,41886 ,0.23352,1.16759
84 ,42391 ,0.22838,1.14192
85 ,42895 ,0.22757,1.13785
86 ,43401 ,0.23568,1.17841
87 ,43905 ,0.22944,1.14718
88 ,44409 ,0.24516,1.22581
89 ,44914 ,0.38352,1.91760
90 ,45418 ,0.59093,2.95465
91 ,45922 ,0.51587,2.57933
92 ,46428 ,0.59837,2.99185
93 ,46934 ,0.52055,2.60275

muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,504 ,0.33982,1.69910
2 ,1008 ,0.34627,1.73134
3 ,1512 ,0.32022,1.60112
4 ,2016 ,0.26620,1.33098
5 ,2521 ,0.36797,1.83983
6 ,3026 ,0.33736,1.68681
7 ,3530 ,0.31058,1.55292
8 ,4034 ,0.26175,1.30876
9 ,4538 ,0.35215,1.76077
10 ,5042 ,0.34088,1.70442
11 ,5546 ,0.64615,3.23075
12 ,6050 ,0.50022,2.50108
13 ,6554 ,0.39041,1.95203
14 ,7058 ,0.33963,1.69816
15 ,7562 ,0.34796,1.73979
16 ,8070 ,0.41400,2.06999
17 ,8574 ,0.65202,3.26011
18 ,9078 ,0.56038,2.80189
19 ,9582 ,0.53765,2.68827
20 ,10086 ,0.56038,2.80189
21 ,10591 ,0.73821,3.69106
22 ,11095 ,0.62910,3.14550
23 ,11600 ,0.57333,2.86663
24 ,12104 ,0.55813,2.79063
25 ,12608 ,0.57684,2.88422
26 ,13112 ,0.68960,3.44798
27 ,13616 ,0.74431,3.72157
28 ,14120 ,0.63734,3.18672
29 ,14624 ,0.59343,2.96717
30 ,15128 ,0.42553,2.12763
31 ,15632 ,0.41701,2.08506
32 ,16136 ,0.45971,2.29855
33 ,16640 ,0.48963,2.44816
34 ,17145 ,0.46653,2.33267
35 ,17651 ,0.38602,1.93012
36 ,18155 ,0.38527,1.92636
37 ,18660 ,0.38502,1.92511
38 ,19164 ,0.38540,1.92699
39 ,19668 ,0.38408,1.92040
40 ,20172 ,0.36179,1.80897
41 ,20676 ,0.36392,1.81962
42 ,21182 ,0.36753,1.83764
43 ,21686 ,0.36280,1.81398
44 ,22190 ,0.37196,1.85982
45 ,22696 ,0.37727,1.88636
46 ,23200 ,0.37156,1.85781
47 ,23704 ,0.36086,1.80428
48 ,24208 ,0.36286,1.81430
49 ,24712 ,0.28041,1.40204
50 ,25217 ,0.36259,1.81297
51 ,25722 ,0.41400,2.06998
52 ,26226 ,0.39598,1.97989
53 ,26733 ,0.41219,2.06096
54 ,27237 ,0.30245,1.51223
55 ,27741 ,0.30219,1.51097
56 ,28246 ,0.32431,1.62154
57 ,28751 ,0.34461,1.72303
58 ,29255 ,0.33287,1.66436
59 ,29759 ,0.33149,1.65747
60 ,30264 ,0.31008,1.55041
61 ,30768 ,0.24867,1.24334
62 ,31273 ,0.22775,1.13875
63 ,31777 ,0.29568,1.47842
64 ,32281 ,0.27239,1.36197
65 ,32785 ,0.24122,1.20609
66 ,33290 ,0.23596,1.17979
67 ,33794 ,0.25461,1.27303
68 ,34300 ,0.22738,1.13688
69 ,34804 ,0.22557,1.12783
70 ,35308 ,0.22569,1.12846
71 ,35815 ,0.22651,1.13253
72 ,36320 ,0.24266,1.21329
73 ,36824 ,0.31188,1.55940
74 ,37329 ,0.24149,1.20745
75 ,37834 ,0.24429,1.22143
76 ,38338 ,0.23527,1.17635
77 ,38842 ,0.23327,1.16633
78 ,39347 ,0.23208,1.16039
79 ,39851 ,0.23418,1.17092
80 ,40356 ,0.23552,1.17760
81 ,40860 ,0.24403,1.22017
82 ,41364 ,0.24109,1.20546
83 ,41869 ,0.24191,1.20953
84 ,42374 ,0.23387,1.16935
85 ,42878 ,0.27060,1.35298
86 ,43384 ,0.60705,3.03526
87 ,43888 ,0.56727,2.83633
88 ,44392 ,0.47630,2.38150
89 ,44899 ,0.41100,2.05501
90 ,45403 ,0.36449,1.82243
91 ,45907 ,0.40057,2.00284
92 ,46411 ,0.41989,2.09946

muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,505 ,0.34339,1.71695
2 ,1009 ,0.35347,1.76734
3 ,1514 ,0.25248,1.26241
4 ,2019 ,0.32106,1.60530
5 ,2524 ,0.36428,1.82140
6 ,3028 ,0.28755,1.43773
7 ,3532 ,0.31766,1.58829
8 ,4036 ,0.33519,1.67594
9 ,4540 ,0.32881,1.64403
10 ,5046 ,0.43192,2.15961
11 ,5550 ,0.52851,2.64256
12 ,6054 ,0.35541,1.77705
13 ,6558 ,0.39936,1.99679
14 ,7062 ,0.29299,1.46496
15 ,7568 ,0.34783,1.73917
16 ,8073 ,0.58625,2.93127
17 ,8577 ,0.54585,2.72927
18 ,9082 ,0.55909,2.79543
19 ,9586 ,0.55255,2.76276
20 ,10091 ,0.59775,2.98873
21 ,10595 ,0.69787,3.48933
22 ,11099 ,0.57816,2.89079
23 ,11603 ,0.63394,3.16970
24 ,12107 ,0.52695,2.63474
25 ,12611 ,0.64183,3.20914
26 ,13115 ,0.69824,3.49120
27 ,13620 ,0.59981,2.99904
28 ,14124 ,0.44756,2.23782
29 ,14628 ,0.43905,2.19525
30 ,15133 ,0.41244,2.06221
31 ,15637 ,0.41576,2.07880
32 ,16141 ,0.38608,1.93039
33 ,16649 ,0.38914,1.94569
34 ,17153 ,0.40362,2.01808
35 ,17657 ,0.38934,1.94671
36 ,18161 ,0.42715,2.13577
37 ,18667 ,0.38695,1.93477
38 ,19171 ,0.38720,1.93601
39 ,19675 ,0.38890,1.94451
40 ,20179 ,0.37838,1.89192
41 ,20683 ,0.39498,1.97488
42 ,21188 ,0.39166,1.95829
43 ,21692 ,0.38133,1.90666
44 ,22197 ,0.36790,1.83952
45 ,22701 ,0.36724,1.83621
46 ,23206 ,0.36042,1.80209
47 ,23710 ,0.34571,1.72853
48 ,24214 ,0.26864,1.34319
49 ,24718 ,0.35966,1.79830
50 ,25223 ,0.36780,1.83902
51 ,25729 ,0.32505,1.62523
52 ,26234 ,0.30526,1.52631
53 ,26738 ,0.32054,1.60269
54 ,27242 ,0.31190,1.55949
55 ,27746 ,0.30720,1.53598
56 ,28251 ,0.38346,1.91728
57 ,28755 ,0.30952,1.54760
58 ,29259 ,0.31052,1.55261
59 ,29763 ,0.36693,1.83464
60 ,30268 ,0.33724,1.68618
61 ,30773 ,0.28484,1.42418
62 ,31277 ,0.23508,1.17541
63 ,31782 ,0.23277,1.16383
64 ,32286 ,0.29888,1.49438
65 ,32790 ,0.24241,1.21203
66 ,33295 ,0.25429,1.27147
67 ,33799 ,0.22932,1.14661
68 ,34303 ,0.23477,1.17385
69 ,34808 ,0.26413,1.32065
70 ,35315 ,0.23389,1.16946
71 ,35819 ,0.23909,1.19544
72 ,36323 ,0.22944,1.14718
73 ,36828 ,0.23270,1.16352
74 ,37332 ,0.23865,1.19325
75 ,37837 ,0.22431,1.12157
76 ,38341 ,0.24691,1.23457
77 ,38845 ,0.27147,1.35735
78 ,39351 ,0.25710,1.28552
79 ,39855 ,0.23508,1.17541
80 ,40360 ,0.22832,1.14160
81 ,40864 ,0.25230,1.26149
82 ,41368 ,0.23402,1.17009
83 ,41873 ,0.24274,1.21370
84 ,42378 ,0.22850,1.14250
85 ,42883 ,0.23001,1.15006
86 ,43387 ,0.23684,1.18418
87 ,43891 ,0.25105,1.25523
88 ,44398 ,0.55468,2.77341
89 ,44902 ,0.46003,2.30014
90 ,45407 ,0.42580,2.12901
91 ,45912 ,0.39873,1.99366

muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,505 ,0.38296,1.91478
2 ,1009 ,0.40612,2.03060
3 ,1513 ,0.36248,1.81242
4 ,2017 ,0.31994,1.59968
5 ,2521 ,0.38665,1.93325
6 ,3025 ,0.45821,2.29103
